,id,name,city,state,zip,rating,review_count,latitude,longitude,categories,url
375,IOxXJnTKJU2TikI4PZohEQ,Golden Brows by Daria Chuprys,Beverly Hills,CA,90211,4.8,152,34.0649764,-118.3767425,"Permanent Makeup, Tattoo Removal",https://www.yelp.com/biz/golden-brows-by-daria-chuprys-beverly-hills?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
376,uEBTPVNkv0t4A-TCMmYQ5w,Revive Wellness Centers,Torrance,CA,90505,4.6,35,33.8153165139607,-118.3487288,"Laser Hair Removal, Medical Spas, Cosmetic Surgeons",https://www.yelp.com/biz/revive-wellness-centers-torrance?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
377,Bk0r5jRl9aGkysBjhDe1qQ,MetroMD Institute of Regenerative Medicine,Studio City,CA,91602,4.5,135,34.157312,-118.387383,"Cosmetic Surgeons, IV Hydration, Nutritionists",https://www.yelp.com/biz/metromd-institute-of-regenerative-medicine-studio-city?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
378,XBW05SDI54yvvBt70THheA,Coast Dermatology Medical Associates,Torrance,CA,90505,3.8,251,33.8117867,-118.3509064,"Dermatologists, Skin Care, Laser Hair Removal",https://www.yelp.com/biz/coast-dermatology-medical-associates-torrance?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
379,VR7Y1w7hSStUXROeTh1CuA,ZO Skin Centre Beverly Hills,Beverly Hills,CA,90210,4.2,166,34.06926,-118.39904,"Dermatologists, Skin Care, Cosmetic Surgeons",https://www.yelp.com/biz/zo-skin-centre-beverly-hills-beverly-hills-4?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
380,idAPTslMRp8iuGQXYKbdEA,Visage Laser &  Skin Care,Anaheim,CA,92807,4.4,100,33.8583989,-117.7921148,"Medical Spas, Skin Care, Laser Hair Removal",https://www.yelp.com/biz/visage-laser-and-skin-care-anaheim-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
381,3sYOU_H0yM9mm5HUDpHLoQ,Laser Creations,Simi Valley,CA,93065,4.2,62,34.271409,-118.772912,"Laser Hair Removal, Medical Spas, Skin Care",https://www.yelp.com/biz/laser-creations-simi-valley?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
382,Hh_4UskGvprxxYZ65rvJ4g,SkinMedix Medical Spa,Hermosa Beach,CA,90254,4.6,108,33.8648126,-118.3959999,"Laser Hair Removal, Skin Care, Medical Spas",https://www.yelp.com/biz/skinmedix-medical-spa-hermosa-beach?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
383,prC--Rb7Uf-DSwSd7Nz02Q,Atma Health,Los Angeles,CA,91324,4.8,74,34.25676,-118.53581,"Medical Spas, Laser Hair Removal, Cosmetic Surgeons",https://www.yelp.com/biz/atma-health-los-angeles?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
384,MoOmE8l5XRKyG160L1CGNA,"Aaron Stone, MD",Beverly Hills,CA,90212,5.0,7,34.06624,-118.40858,"Cosmetic Surgeons, Plastic Surgeons",https://www.yelp.com/biz/aaron-stone-md-beverly-hills?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
